source,source_record_id,source_address,external_id,distance_m,operator_match,address_similarity,name_similarity,postcode_conflict,eligible,match_method,external_title,external_address,external_operator,external_source_url
evie,ev_00007,"1 Bells Blvd, Kingscliff, 2487",6398,0.17,True,1.0,0.0,False,True,nearby_identity,Salt Village – Kingscliff,1 Bells Blvd  Kingscliff 2487,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00017,"1 Frederick St, Sydney, 2064",7285,0.1,True,0.667,0.0,False,True,nearby_identity,Home HQ – Artarmon,1 Frederick St  Artarmon 2064,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00024,"1 Ingham Dr, Casula NSW 2170",4859,0.03,True,1.0,0.0,False,True,nearby_identity,Casula Mall,1 Ingham Dr  Casula 2170,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00037,"1 Perry St, Batemans Bay, 2536",6798,33.1,True,1.0,0.0,False,True,nearby_identity,Batemans Bay Village Centre,1 Perry Street  Batemans Bay 2536,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00037,"1 Perry St, Batemans Bay, 2536",7643,376.89,True,0.444,0.0,False,False,,Dan Murphy’s – Batemans Bay,51/53A Orient St  Batemans Bay 2536,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00038,"1 Plunkett St, Sydney, 2065",6819,267.4,False,0.25,0.0,False,False,,Mall 88 – St Leonards,88 Christie St  St Leonards 2065,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00038,"1 Plunkett St, Sydney, 2065",5772,460.36,False,0.111,0.0,False,False,,Hume Street Parking – Crows Nest,Pole Lane  Crows Nest 2065,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00050,"1/9 Railway Parade, Kogarah NSW 2217",4512,65.79,True,1.0,0.0,False,True,nearby_identity,Kogarah Town Centre,1-9 Railway Parade  Kogarah 2217,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00051,"10 Brookfield Rd, Minto NSW 2566",6401,3.33,True,1.0,0.0,False,True,nearby_identity,Minto Mall,10 Brookfield Road  Minto 2566,Evie Networks,https://evie.com.au/find-a-charger/
evie,ev_00054,"10 Elizabeth St, Bathurst, 2795",7320,0.07,True,1.0,0.0,False,True,nearby_identity,10 Elizabeth Street Parking – Bathurst,10 Elizabeth Street  Bathurst 2795,Evie Networks,https://evie.com.au/find-a-charger/
